timestamp_revisao,nome_revisor,char_beneficiario_aprovado,makers_aprovados,filenames_associados,acao
2025-05-13T15:46:18.193826,Erishszin,Druid Aprendiiz,"Druid Aprendiiz,El Monje Campeon","20250512_235203_057836_B_Druid_Aprendiiz_M1_Druid_Aprendiiz_img1.png,20250512_235203_057836_B_Druid_Aprendiiz_M2_El_Monje_Campeon_img2.png",Aprovado
2025-05-13T15:46:31.006056,diegodeabreu,Wiadjin Dekor,"Wiadjin Dekor,Alummea","20250513_154546_788500_B_Wiadjin_Dekor_M1_Wiadjin_Dekor_img1.png,20250513_154546_788500_B_Wiadjin_Dekor_M2_Alummea_img2.png",Aprovado
2025-05-13T15:46:56.379584,Erishszin,Felpao,"Felpao Tank Blindado,Felpao Cleanser","20250512_235248_367940_B_Felpao_M1_Felpao_Tank_Blindado_img1.png,20250512_235248_367940_B_Felpao_M2_Felpao_Cleanser_img2.png",Aprovado
2025-05-13T15:47:21.063098,Rogerio Aston,Erishszin,"Shinohana,Erishszin Outlaws,Kimochiwarui","20250513_152431_864011_B_Erishszin_M1_Shinohana_img1.png,20250513_152431_864011_B_Erishszin_M2_Erishszin_Outlaws_img2.png,20250513_152431_864011_B_Erishszin_M3_Kimochiwarui_img3.png",Aprovado
2025-05-13T15:47:35.056665,Erishszin,Neowi -,"Drafyn Riamax,Neowi Xybra","20250513_000015_578994_B_Neowi_M1_Drafyn_Riamax_img1.png,20250513_000015_578994_B_Neowi_M2_Neowi_Xybra_img2.png",Aprovado
2025-05-13T15:47:41.986740,Rogerio Aston,Leo,"Victao Vulgo Rages,Xybra Louco","20250513_154645_812504_B_Leo_M1_Victao_Vulgo_Rages_img1.png,20250513_154645_812504_B_Leo_M2_Xybra_Louco_img2.png",Aprovado
2025-05-13T15:48:35.157910,Erishszin,Bene,"Benezin Dropanada,Cebola imc altissimo","20250513_061925_626236_B_Bene_M1_Benezin_Dropanada_img1.png,20250513_061925_626236_B_Bene_M2_Cebola_imc_altissimo_img2.png",Aprovado
2025-05-13T15:48:41.446020,Rogerio Aston,dudu testoalta,"sodacaustica testoalta,eduardo testoalta","20250513_151811_016891_B_dudu_testoalta_M1_sodacaustica_testoalta_img1.png,20250513_151811_016891_B_dudu_testoalta_M2_eduardo_testoalta_img2.png",Aprovado
2025-05-13T15:49:43.686916,Erishszin,Shico Malo,"Shico Malo,Alto Garca","20250512_235552_132600_B_Shico_Malo_M1_Shico_Malo_img1.png,20250512_235552_132600_B_Shico_Malo_M2_Alto_Garca_img2.png",Aprovado
2025-05-13T15:49:56.649841,Rogerio Aston,Ariervaa - Ariele,"Ariervaa,Banco da Leli","20250513_144808_518575_B_Ariervaa__Ariele_M1_Ariervaa_img1.jpeg,20250513_144808_518575_B_Ariervaa__Ariele_M2_Banco_da_Leli_img2.jpeg",Aprovado
